ID,name,cname,population,lon,lat
3502,福建省厦门市,厦门市,353.13,118.103886,24.48923061
5326,云南省文山壮族苗族自治州,文山州,351.8,104.2462943,23.37408685
5226,贵州省黔东南苗族侗族自治州,黔东南州,348.06,107.9853526,26.58399177
1308,河北省承德市,承德市,347.32,117.9338225,40.99252105
452601,广西百色市,百色市,346.68,106.6318214,23.90151237
5329,云南省大理白族自治州,大理州,345.6,100.2236748,25.59689964
612301,陕西省汉中市,汉中市,341.62,107.0454776,33.08156898
2203,吉林省四平市,四平市,338.63,124.3913821,43.1755247
452701,广西河池市,河池市,336.92,108.0699477,24.69952078
612701,陕西省榆林市,榆林市,335.14,109.7459257,38.27943924
4203,湖北省十堰市,十堰市,334.08,110.8012289,32.63699434
1404,山西省长治市,长治市,333.46,113.1202921,36.20166439
1402,山西省大同市,大同市,331.81,113.2905087,40.1137445
4228,湖北省恩施土家族苗族自治州,恩施州,329.03,109.4919233,30.28588832
513701,四川省巴中市,巴中市,328.38,106.7579158,31.86918916
6205,甘肃省天水市,天水市,326.25,105.7369316,34.58431942
5109,四川省遂宁市,遂宁市,325.26,105.5648878,30.55749135
1424,山西省晋中地区,晋中市,324.94,112.7385144,37.69336153
5111,四川省乐山市,乐山市,323.58,103.7608242,29.60095761
5227,贵州省黔南布依族苗族自治州,黔南州,323.12,107.5232051,26.264536
5136,四川省广安地区,广安市,320.55,106.6357203,30.46398389
3403,安徽省蚌埠市,蚌埠市,316.4,117.3570799,32.92949891
152301,内蒙古通辽市,通辽市,313.92,122.2603633,43.63375607
2107,辽宁省锦州市,锦州市,312.65,121.1477487,41.13087888
4420,广东省中山市,中山市,312.09,113.42206,22.54517751
3211,江苏省镇江市,镇江市,311.34,119.4558354,32.20440944
6501,新疆乌鲁木齐市,乌鲁木齐市,311.03,87.56498774,43.84038035
452802,广西钦州市,钦州市,307.97,108.6387981,21.97335047
142201,山西省忻州市,忻州市,306.75,112.7279388,38.46103057
2113,辽宁省朝阳市,朝阳市,304.46,120.4461627,41.57182767
1303,河北省秦皇岛市,秦皇岛市,298.76,119.6043676,39.94546157
4416,广东省河源市,河源市,295.3,114.7137215,23.75725085
511122,四川省眉山市-县,眉山市,295.05,103.8414296,30.06111508
4415,广东省汕尾市,汕尾市,293.57,115.3729243,22.7787305
2306,黑龙江大庆市,大庆市,290.45,125.0218397,46.59670902
3305,浙江省湖州市,湖州市,289.35,120.1372432,30.87792516
4504,广西梧州市,梧州市,288.22,111.305472,23.48539464
2207,吉林省松原市,松原市,288.11,124.8329945,45.13604897
4208,湖北省荆门市,荆门市,287.37,112.2173303,31.0426112
1501,内蒙古呼和浩特市,呼和浩特市,286.66,111.6603505,40.82831887
5202,贵州省六盘水市,六盘水市,285.12,104.8520868,26.59186606
4402,广东省韶关市,韶关市,282.66,113.5944611,24.80296031
352201,福建省宁德市,宁德市,282.2,119.5420821,26.65652742
5223,贵州省黔西南布依族苗族自治州,黔西南州,280.59,104.9005578,25.09514806
3710,山东省威海市,威海市,280.48,122.0939584,37.52878708
3711,山东省日照市,日照市,280.11,119.5071799,35.42022519
2310,黑龙江牡丹江市,牡丹江市,279.87,129.6080354,44.58852115
3503,福建省莆田市,莆田市,277.85,119.077731,25.44845014
2112,辽宁省铁岭市,铁岭市,271.77,123.8548496,42.29975701
6224,甘肃省定西地区,定西市,269.86,104.6266376,35.58605624
5323,云南省楚雄彝族自治州,楚雄州,268.4,101.5293822,25.06635567
5103,四川省自贡市,自贡市,267.89,104.7760713,29.35915689
4451,广东省潮州市,潮州市,266.98,116.630076,23.66181168
1502,内蒙古包头市,包头市,265.04,109.8462385,40.64711943
352101,福建省南平市,南平市,264.55,118.1818829,26.64362647
612401,陕西省安康市,安康市,262.99,109.0380446,32.70437045
211403,辽宁省锦西市葫芦岛区,葫芦岛市,262.35,120.8607576,40.74302988
