ID,date,confirmed,deaths,d_confirmed,d_deaths
JP,2021-01-09,283036,4022,7854,59
JP,2021-01-10,289144,4067,6108,45
JP,2021-01-11,294050,4115,4906,48
JP,2021-01-12,298647,4179,4597,64
JP,2021-01-13,304564,4276,5917,97
JP,2021-01-14,311220,4342,6656,66
JP,2021-01-15,318393,4420,7173,78
JP,2021-01-16,325435,4476,7042,56
JP,2021-01-17,331195,4525,5760,49
JP,2021-01-18,336132,4583,4937,58
JP,2021-01-19,341467,4687,5335,104
JP,2021-01-20,347029,4779,5562,92
JP,2021-01-21,352693,4873,5664,94
JP,2021-01-22,357750,4981,5057,108
JP,2021-01-23,362476,5064,4726,83
JP,2021-01-24,366466,5120,3990,56
JP,2021-01-25,369229,5194,2763,74
JP,2021-01-26,373082,5298,3853,104
JP,2021-01-27,377056,5388,3974,90
JP,2021-01-28,381187,5501,4131,113
JP,2021-01-29,384725,5597,3538,96
JP,2021-01-30,388067,5688,3342,91
JP,2021-01-31,390740,5753,2673,65
JP,2021-02-01,392533,5833,1793,80
JP,2021-02-02,394857,5952,2324,119
JP,2021-02-03,397491,6072,2634,120
JP,2021-02-04,400069,6176,2578,104
JP,2021-02-05,402439,6282,2370,106
JP,2021-02-06,404716,6376,2277,94
JP,2021-02-07,406346,6428,1630,52
JP,2021-02-08,407563,6511,1217,83
JP,2021-02-09,409131,6605,1568,94
JP,2021-02-10,411017,6726,1886,121
JP,2021-02-11,412707,6804,1690,78
JP,2021-02-12,414007,6867,1300,63
JP,2021-02-13,415367,6932,1360,65
JP,2021-02-14,416729,6970,1362,38
JP,2021-02-15,417694,7043,965,73
JP,2021-02-16,419002,7144,1308,101
JP,2021-02-17,420450,7223,1448,79
JP,2021-02-18,421986,7299,1536,76
JP,2021-02-19,423287,7365,1301,66
JP,2021-02-20,424520,7443,1233,78
JP,2021-02-21,425552,7493,1032,50
JP,2021-02-22,426292,7549,740,56
JP,2021-02-23,427373,7603,1081,54
JP,2021-02-24,428294,7672,921,69
JP,2021-02-25,429370,7746,1076,74
JP,2021-02-26,430424,7826,1054,80
JP,2021-02-27,431637,7867,1213,41
JP,2021-02-28,432636,7897,999,30
JP,2021-03-01,433334,7948,698,51
JP,2021-03-02,434222,8013,888,65
JP,2021-03-03,435465,8076,1243,63
JP,2021-03-04,436634,8143,1169,67
JP,2021-03-05,437782,8198,1148,55
JP,2021-03-06,438825,8238,1043,40
JP,2021-03-07,439896,8262,1071,24
JP,2021-03-08,440496,8307,600,45
JP,2021-03-09,441623,8365,1127,58
JP,2021-03-10,442936,8419,1313,54
JP,2021-03-11,444253,8464,1317,45
JP,2021-03-12,445524,8522,1271,58
JP,2021-03-13,446843,8573,1319,51
JP,2021-03-14,447830,8595,987,22
JP,2021-03-15,448525,8633,695,38
JP,2021-03-16,449658,8690,1133,57
JP,2021-03-17,451191,8733,1533,43
JP,2021-03-18,452688,8765,1497,32
JP,2021-03-19,454151,8798,1463,33
JP,2021-03-20,455667,8817,1516,19
JP,2021-03-21,456785,8837,1118,20
JP,2021-03-22,457601,8870,816,33
JP,2021-03-23,459101,8923,1500,53
JP,2021-03-24,461018,8944,1917,21
JP,2021-03-25,462933,8971,1915,27
JP,2021-03-26,464958,9004,2025,33
JP,2021-03-27,467029,9036,2071,32
JP,2021-03-28,468811,9065,1782,29
JP,2021-03-29,470156,9094,1345,29
JP,2021-03-30,472243,9127,2087,33
JP,2021-03-31,475086,9176,2843,49
JP,2021-04-01,477691,9194,2605,18
JP,2021-04-02,480445,9216,2754,22
JP,2021-04-03,483217,9224,2772,8
JP,2021-04-04,485684,9236,2467,12
JP,2021-04-05,487255,9255,1571,19
JP,2021-04-06,489921,9283,2666,28
JP,2021-04-07,493369,9313,3448,30
JP,2021-04-08,496865,9338,3496,25
JP,2021-04-09,500353,9365,3488,27
JP,2021-04-10,504118,9392,3765,27
JP,2021-04-11,506954,9409,2836,17
JP,2021-04-12,509058,9433,2104,24
JP,2021-04-13,512510,9477,3452,44
JP,2021-04-14,516817,9511,4307,34
JP,2021-04-15,521386,9546,4569,35
JP,2021-04-16,525910,9592,4524,46
JP,2021-04-17,530703,9633,4793,41
JP,2021-04-18,534787,9649,4084,16
JP,2021-04-19,537690,9679,2903,30
JP,2021-04-20,542040,9724,4350,45
JP,2021-04-21,547326,9774,5286,50
JP,2021-04-22,552818,9816,5492,42
JP,2021-04-23,557922,9872,5104,56
JP,2021-04-24,563517,9926,5595,54
JP,2021-04-25,568116,9977,4599,51
JP,2021-04-26,571430,10012,3314,35
JP,2021-04-27,576391,10075,4961,63
JP,2021-04-28,582174,10126,5783,51
JP,2021-04-29,588087,10204,5913,78
JP,2021-04-30,592771,10243,4684,39
JP,2021-05-01,598754,10326,5983,83
JP,2021-05-02,604644,10387,5890,61
JP,2021-05-03,609108,10436,4464,49
JP,2021-05-04,613298,10486,4190,50
JP,2021-05-05,617358,10546,4060,60
JP,2021-05-06,621728,10611,4370,65
JP,2021-05-07,627778,10759,6050,148
JP,2021-05-08,635016,10845,7238,86
JP,2021-05-09,641500,10910,6484,65
JP,2021-05-10,646440,10981,4940,71
JP,2021-05-11,652675,11094,6235,113
JP,2021-05-12,659726,11200,7051,106
JP,2021-05-13,666600,11301,6874,101
JP,2021-05-14,672862,11382,6262,81
JP,2021-05-15,679279,11476,6417,94
JP,2021-05-16,684535,11523,5256,47
JP,2021-05-17,688212,11645,3677,122
JP,2021-05-18,693436,11861,5224,216
JP,2021-05-19,699227,11958,5791,97
JP,2021-05-20,704939,12063,5712,105
JP,2021-05-21,710184,12175,5245,112
JP,2021-05-22,715219,12258,5035,83
JP,2021-05-23,719258,12320,4039,62
JP,2021-05-24,721969,12405,2711,85
JP,2021-05-25,725861,12509,3892,104
JP,2021-05-26,730394,12625,4533,116
JP,2021-05-27,734526,12744,4132,119
JP,2021-05-28,738229,12839,3703,95
JP,2021-05-29,741822,12930,3593,91
JP,2021-05-30,744696,12979,2874,49
JP,2021-05-31,746487,13059,1791,80
JP,2021-06-01,749126,13160,2639,101
JP,2021-06-02,752160,13273,3034,113
JP,2021-06-03,754991,13384,2831,111
JP,2021-06-04,757583,13470,2592,86
JP,2021-06-05,760233,13534,2650,64
JP,2021-06-06,762253,13584,2020,50
JP,2021-06-07,763533,13659,1280,75
JP,2021-06-08,765414,13758,1881,99
JP,2021-06-09,767652,13854,2238,96
JP,2021-06-10,769694,13925,2042,71
JP,2021-06-11,771628,13988,1934,63
JP,2021-06-12,773569,14043,1941,55
JP,2021-06-13,774951,14075,1382,32
JP,2021-06-14,775884,14135,933,60
JP,2021-06-15,777301,14202,1417,67
JP,2021-06-16,779008,14282,1707,80
JP,2021-06-17,780558,14329,1550,47
JP,2021-06-18,782178,14377,1620,48
JP,2021-06-19,783696,14405,1518,28
JP,2021-06-20,785002,14425,1306,20
JP,2021-06-21,785870,14460,868,35
JP,2021-06-22,787305,14504,1435,44
JP,2021-06-23,789085,14562,1780,58
JP,2021-06-24,790759,14604,1674,42
JP,2021-06-25,792469,14635,1710,31
JP,2021-06-26,794100,14664,1631,29
JP,2021-06-27,795382,14674,1282,10
JP,2021-06-28,796383,14712,1001,38
JP,2021-06-29,797763,14742,1380,30
JP,2021-06-30,799583,14783,1820,41
JP,2021-07-01,801337,14807,1754,24
JP,2021-07-02,803112,14832,1775,25
JP,2021-07-03,804990,14841,1878,9
JP,2021-07-04,806475,14847,1485,6
JP,2021-07-05,807504,14866,1029,19
JP,2021-07-06,809172,14888,1668,22
JP,2021-07-07,811361,14902,2189,14
JP,2021-07-08,813607,14919,2246,17
JP,2021-07-09,815883,14939,2276,20
JP,2021-07-10,818341,14950,2458,11
JP,2021-07-11,820371,14956,2030,6
JP,2021-07-12,821876,14959,1505,3
JP,2021-07-13,824260,14977,2384,18
JP,2021-07-14,827452,14997,3192,20
JP,2021-07-15,830870,15019,3418,22
JP,2021-07-16,834303,15029,3433,10
JP,2021-07-17,838189,15045,3886,16
JP,2021-07-18,841290,15049,3101,4
JP,2021-07-19,843618,15061,2328,12
JP,2021-07-20,847377,15081,3759,20
JP,2021-07-21,852326,15101,4949,20
JP,2021-07-22,857725,15107,5399,6
JP,2021-07-23,861959,15115,4234,8
JP,2021-07-24,865553,15123,3594,8
JP,2021-07-25,870592,15127,5039,4
JP,2021-07-26,875301,15139,4709,12
JP,2021-07-27,882971,15151,7670,12
JP,2021-07-28,892599,15159,9628,8
JP,2021-07-29,903351,15173,10752,14
JP,2021-07-30,914182,15182,10831,9
JP,2021-07-31,926604,15191,12422,9
JP,2021-08-01,936852,15196,10248,5
JP,2021-08-02,945330,15207,8478,11
JP,2021-08-03,957431,15217,12101,10
JP,2021-08-04,971743,15231,14312,14
JP,2021-08-05,987060,15239,15317,8
JP,2021-08-06,1002867,15259,15807,20
JP,2021-08-07,1018688,15273,15821,14
JP,2021-08-08,1033214,15282,14526,9
JP,2021-08-09,1045392,15294,12178,12
JP,2021-08-10,1056125,15313,10733,19
JP,2021-08-11,1072153,15333,16028,20
JP,2021-08-12,1091187,15357,19034,24
JP,2021-08-13,1111683,15382,20496,25
JP,2021-08-14,1131986,15400,20303,18
JP,2021-08-15,1149874,15410,17888,10
JP,2021-08-16,1164881,15437,15007,27
JP,2021-08-17,1184986,15484,20105,47
JP,2021-08-18,1209082,15514,24096,30
JP,2021-08-19,1234423,15542,25341,28
JP,2021-08-20,1260415,15578,25992,36
JP,2021-08-21,1286077,15612,25662,34
JP,2021-08-22,1308422,15636,22345,24
JP,2021-08-23,1325346,15668,16924,32
